image Name,object 1,is close to,is far from,is smaller than,is greater than,overlaps,doesnt overlap,is in the right of,is in the left of,is in the bottom of,is in the top of
download (15).jpg,elephant,na,na,cow,na,na,na,na,na,na,na
download (15).jpg,cow,na,na,na,elephant,na,na,na,na,na,na
download (15).jpg,elephant,na,na,na,elephant,na,na,na,na,na,na
download (15).jpg,elephant,na,na,elephant,na,na,na,na,na,na,na
download (15).jpg,elephant,na,na,elephant,na,na,na,na,na,na,na
download (15).jpg,elephant,na,na,na,elephant,na,na,na,na,na,na
download (15).jpg,elephant,na,na,na,elephant,na,na,na,na,na,na
download (15).jpg,elephant,na,na,elephant,na,na,na,na,na,na,na
download (15).jpg,cow,na,na,na,cow,na,na,na,na,na,na
download (15).jpg,cow,na,na,cow,na,na,na,na,na,na,na
download (15).jpg,cow,na,na,cow,na,na,na,na,na,na,na
download (15).jpg,cow,na,na,na,cow,na,na,na,na,na,na
download (15).jpg,cow,na,na,na,elephant,na,na,na,na,na,na
download (15).jpg,elephant,na,na,cow,na,na,na,na,na,na,na
download (15).jpg,cow,na,na,elephant,na,na,na,na,na,na,na
download (15).jpg,elephant,na,na,na,cow,na,na,na,na,na,na
download (15).jpg,cow,na,na,na,elephant,na,na,na,na,na,na
download (15).jpg,elephant,na,na,cow,na,na,na,na,na,na,na
download (15).jpg,cow,na,na,cow,na,na,na,na,na,na,na
download (15).jpg,cow,na,na,na,cow,na,na,na,na,na,na
download (15).jpg,cow,na,na,elephant,na,na,na,na,na,na,na
download (15).jpg,elephant,na,na,na,cow,na,na,na,na,na,na
download (15).jpg,cow,na,na,elephant,na,na,na,na,na,na,na
download (15).jpg,elephant,na,na,na,cow,na,na,na,na,na,na
download (15).jpg,cow,na,na,na,elephant,na,na,na,na,na,na
download (15).jpg,elephant,na,na,cow,na,na,na,na,na,na,na
download (15).jpg,cow,na,na,na,elephant,na,na,na,na,na,na
download (15).jpg,elephant,na,na,cow,na,na,na,na,na,na,na
download (15).jpg,cow,na,na,elephant,na,na,na,na,na,na,na
download (15).jpg,elephant,na,na,na,cow,na,na,na,na,na,na
download (15).jpg,cow,na,na,na,elephant,na,na,na,na,na,na
download (15).jpg,elephant,na,na,cow,na,na,na,na,na,na,na
download (15).jpg,elephant,na,na,elephant,na,na,na,na,na,na,na
download (15).jpg,elephant,na,na,na,elephant,na,na,na,na,na,na
download (15).jpg,elephant,na,na,na,elephant,na,na,na,na,na,na
download (15).jpg,elephant,na,na,elephant,na,na,na,na,na,na,na
download (15).jpg,elephant,na,na,na,elephant,na,na,na,na,na,na
download (15).jpg,elephant,na,na,elephant,na,na,na,na,na,na,na
download (16).jpg,elephant,na,na,na,elephant,na,na,na,na,na,na
download (16).jpg,elephant,na,na,elephant,na,na,na,na,na,na,na
download (17).jpg,elephant,na,na,na,car,na,na,na,na,na,na
download (17).jpg,car,na,na,elephant,na,na,na,na,na,na,na
download (17).jpg,elephant,na,na,na,elephant,na,na,na,na,na,na
download (17).jpg,elephant,na,na,elephant,na,na,na,na,na,na,na
download (17).jpg,car,na,na,elephant,na,na,na,na,na,na,na
download (17).jpg,elephant,na,na,na,car,na,na,na,na,na,na
download (18).jpg,car,na,na,dog,na,na,na,na,na,na,na
download (18).jpg,dog,na,na,na,car,na,na,na,na,na,na
download (19).jpg,elephant,na,na,na,car,na,na,na,na,na,na
download (19).jpg,car,na,na,elephant,na,na,na,na,na,na,na
download (2).jpg,car,na,na,na,car,na,na,na,na,na,na
download (2).jpg,car,na,na,car,na,na,na,na,na,na,na
download (3).jpg,person,na,na,car,na,na,na,na,na,na,na
download (3).jpg,car,na,na,na,person,na,na,na,na,na,na
download (7).jpg,bus,na,na,na,traffic light,na,na,na,na,na,na
download (7).jpg,traffic light,na,na,bus,na,na,na,na,na,na,na
download (9).jpg,bus,na,na,na,person,na,na,na,na,na,na
download (9).jpg,person,na,na,bus,na,na,na,na,na,na,na
images (1).jpg,elephant,na,na,truck,na,na,na,na,na,na,na
images (1).jpg,truck,na,na,na,elephant,na,na,na,na,na,na
images (1).jpg,elephant,na,na,na,car,na,na,na,na,na,na
images (1).jpg,car,na,na,elephant,na,na,na,na,na,na,na
images (1).jpg,elephant,na,na,truck,na,na,na,na,na,na,na
images (1).jpg,truck,na,na,na,elephant,na,na,na,na,na,na
images (1).jpg,elephant,na,na,na,car,na,na,na,na,na,na
images (1).jpg,car,na,na,elephant,na,na,na,na,na,na,na
images (1).jpg,truck,na,na,na,car,na,na,na,na,na,na
images (1).jpg,car,na,na,truck,na,na,na,na,na,na,na
images (1).jpg,truck,na,na,truck,na,na,na,na,na,na,na
images (1).jpg,truck,na,na,na,truck,na,na,na,na,na,na
images (1).jpg,truck,na,na,na,car,na,na,na,na,na,na
images (1).jpg,car,na,na,truck,na,na,na,na,na,na,na
images (1).jpg,car,na,na,truck,na,na,na,na,na,na,na
images (1).jpg,truck,na,na,na,car,na,na,na,na,na,na
images (1).jpg,car,na,na,car,na,na,na,na,na,na,na
images (1).jpg,car,na,na,na,car,na,na,na,na,na,na
images (1).jpg,truck,na,na,na,car,na,na,na,na,na,na
images (1).jpg,car,na,na,truck,na,na,na,na,na,na,na
images.jpg,person,na,na,car,na,na,na,na,na,na,na
images.jpg,car,na,na,na,person,na,na,na,na,na,na
images.jpg,person,na,na,elephant,na,na,na,na,na,na,na
images.jpg,elephant,na,na,na,person,na,na,na,na,na,na
images.jpg,person,na,na,na,person,na,na,na,na,na,na
images.jpg,person,na,na,person,na,na,na,na,na,na,na
images.jpg,person,na,na,na,person,na,na,na,na,na,na
images.jpg,person,na,na,person,na,na,na,na,na,na,na
images.jpg,person,na,na,na,person,na,na,na,na,na,na
images.jpg,person,na,na,person,na,na,na,na,na,na,na
images.jpg,car,na,na,elephant,na,na,na,na,na,na,na
images.jpg,elephant,na,na,na,car,na,na,na,na,na,na
images.jpg,car,na,na,na,person,na,na,na,na,na,na
images.jpg,person,na,na,car,na,na,na,na,na,na,na
images.jpg,car,na,na,na,person,na,na,na,na,na,na
images.jpg,person,na,na,car,na,na,na,na,na,na,na
images.jpg,car,na,na,na,person,na,na,na,na,na,na
images.jpg,person,na,na,car,na,na,na,na,na,na,na
images.jpg,elephant,na,na,na,person,na,na,na,na,na,na
images.jpg,person,na,na,elephant,na,na,na,na,na,na,na
images.jpg,elephant,na,na,na,person,na,na,na,na,na,na
images.jpg,person,na,na,elephant,na,na,na,na,na,na,na
images.jpg,elephant,na,na,na,person,na,na,na,na,na,na
images.jpg,person,na,na,elephant,na,na,na,na,na,na,na
images.jpg,person,na,na,na,person,na,na,na,na,na,na
images.jpg,person,na,na,person,na,na,na,na,na,na,na
images.jpg,person,na,na,na,person,na,na,na,na,na,na
images.jpg,person,na,na,person,na,na,na,na,na,na,na
images.jpg,person,na,na,na,person,na,na,na,na,na,na
images.jpg,person,na,na,person,na,na,na,na,na,na,na
download (10).jpg,cat,na,na,na,na,cup,na,na,na,na,na
download (10).jpg,cup,na,na,na,na,cat,na,na,na,na,na
download (12).jpg,cat,na,na,na,na,dining table,na,na,na,na,na
download (12).jpg,dining table,na,na,na,na,cat,na,na,na,na,na
download (14).jpg,elephant,na,na,na,na,elephant,na,na,na,na,na
download (14).jpg,elephant,na,na,na,na,elephant,na,na,na,na,na
download (15).jpg,elephant,na,na,na,na,na,cow,na,na,na,na
download (15).jpg,cow,na,na,na,na,na,elephant,na,na,na,na
download (15).jpg,elephant,na,na,na,na,na,elephant,na,na,na,na
download (15).jpg,elephant,na,na,na,na,na,elephant,na,na,na,na
download (15).jpg,elephant,na,na,na,na,na,cow,na,na,na,na
download (15).jpg,cow,na,na,na,na,na,elephant,na,na,na,na
download (15).jpg,elephant,na,na,na,na,na,cow,na,na,na,na
download (15).jpg,cow,na,na,na,na,na,elephant,na,na,na,na
download (15).jpg,elephant,na,na,na,na,cow,na,na,na,na,na
download (15).jpg,cow,na,na,na,na,elephant,na,na,na,na,na
download (15).jpg,elephant,na,na,na,na,na,elephant,na,na,na,na
download (15).jpg,elephant,na,na,na,na,na,elephant,na,na,na,na
download (15).jpg,elephant,na,na,na,na,na,elephant,na,na,na,na
download (15).jpg,elephant,na,na,na,na,na,elephant,na,na,na,na
download (15).jpg,elephant,na,na,na,na,na,elephant,na,na,na,na
download (15).jpg,elephant,na,na,na,na,na,elephant,na,na,na,na
download (15).jpg,cow,na,na,na,na,na,elephant,na,na,na,na
download (15).jpg,elephant,na,na,na,na,na,cow,na,na,na,na
download (15).jpg,cow,na,na,na,na,na,cow,na,na,na,na
download (15).jpg,cow,na,na,na,na,na,cow,na,na,na,na
download (15).jpg,cow,na,na,na,na,na,cow,na,na,na,na
download (15).jpg,cow,na,na,na,na,na,cow,na,na,na,na
download (15).jpg,cow,na,na,na,na,na,cow,na,na,na,na
download (15).jpg,cow,na,na,na,na,na,cow,na,na,na,na
download (15).jpg,cow,na,na,na,na,elephant,na,na,na,na,na
download (15).jpg,elephant,na,na,na,na,cow,na,na,na,na,na
download (15).jpg,cow,na,na,na,na,elephant,na,na,na,na,na
download (15).jpg,elephant,na,na,na,na,cow,na,na,na,na,na
download (15).jpg,cow,na,na,na,na,na,elephant,na,na,na,na
download (15).jpg,elephant,na,na,na,na,na,cow,na,na,na,na
download (15).jpg,elephant,na,na,na,na,na,cow,na,na,na,na
download (15).jpg,cow,na,na,na,na,na,elephant,na,na,na,na
download (15).jpg,elephant,na,na,na,na,na,cow,na,na,na,na
download (15).jpg,cow,na,na,na,na,na,elephant,na,na,na,na
download (15).jpg,elephant,na,na,na,na,cow,na,na,na,na,na
download (15).jpg,cow,na,na,na,na,elephant,na,na,na,na,na
download (15).jpg,elephant,na,na,na,na,na,elephant,na,na,na,na
download (15).jpg,elephant,na,na,na,na,na,elephant,na,na,na,na
download (15).jpg,elephant,na,na,na,na,na,elephant,na,na,na,na
download (15).jpg,elephant,na,na,na,na,na,elephant,na,na,na,na
download (15).jpg,elephant,na,na,na,na,na,elephant,na,na,na,na
download (15).jpg,elephant,na,na,na,na,na,elephant,na,na,na,na
download (15).jpg,cow,na,na,na,na,na,cow,na,na,na,na
download (15).jpg,cow,na,na,na,na,na,cow,na,na,na,na
download (15).jpg,cow,na,na,na,na,na,cow,na,na,na,na
download (15).jpg,cow,na,na,na,na,na,cow,na,na,na,na
download (15).jpg,cow,na,na,na,na,elephant,na,na,na,na,na
download (15).jpg,elephant,na,na,na,na,cow,na,na,na,na,na
download (15).jpg,cow,na,na,na,na,na,elephant,na,na,na,na
download (15).jpg,elephant,na,na,na,na,na,cow,na,na,na,na
download (15).jpg,cow,na,na,na,na,na,elephant,na,na,na,na
download (15).jpg,elephant,na,na,na,na,na,cow,na,na,na,na
download (15).jpg,cow,na,na,na,na,na,cow,na,na,na,na
download (15).jpg,cow,na,na,na,na,na,cow,na,na,na,na
download (15).jpg,cow,na,na,na,na,na,elephant,na,na,na,na
download (15).jpg,elephant,na,na,na,na,na,cow,na,na,na,na
download (15).jpg,cow,na,na,na,na,na,elephant,na,na,na,na
download (15).jpg,elephant,na,na,na,na,na,cow,na,na,na,na
download (15).jpg,cow,na,na,na,na,elephant,na,na,na,na,na
download (15).jpg,elephant,na,na,na,na,cow,na,na,na,na,na
